Title,Released,Label,Format
Kiss Land,"September 10, 2013[23]","XO, Republic","CD, LP, digital download, streaming"
Beauty Behind the Madness,"August 28, 2015[24]","XO, Republic","CD, LP, digital download, streaming, cassette"
Starboy,"November 25, 2016[32]","XO, Republic","CD, LP, digital download, streaming, cassette"
After Hours,"March 20, 2020[38]","XO, Republic","CD, LP, digital download, streaming, cassette"
Dawn FM,"January 7, 2022[47]","XO, Republic","CD, LP, digital download, streaming, cassette"
Live at SoFi Stadium,"March 3, 2023","XO, Republic","digital download, streaming"
House of Balloons,"March 21, 2011[49]",XO,"igital download, CD, LP, streaming, cassette"
Thursday,"August 18, 2011[50]",XO,"igital download, CD, LP, streaming, cassette"
Echoes of Silence,"December 21, 2011[51]",XO,"igital download, CD, LP, streaming, cassette"
Trilogy,"November 8, 2012[52]","XO, Republic","CD, LP, digital download, streaming"
The Weeknd in Japan,"November 21, 2018 (JPN only)[55]","XO, Republic, Universal Music Japan","CD, digital download, streaming"
The Highlights,"February 5, 2021[56]","XO, Republic","CD, LP, digital download, streaming"
Avatar: The Way of Water (Original Motion Picture Soundtrack)(with Simon Franglen),"December 15, 2022",Hollywood,"LP, streaming"
My Dear Melancholy,"March 30, 2018[58]","XO, Republic","CD, LP, digital download, streaming"
After Hours (Remixes),"April 3, 2020[61]","XO, Republic","LP, digital download, streaming"
The Dawn FM Experience,"February 26, 2022","XO, Republic","digital download, streaming"
